Category,Question,Answer
Visit Management,How do I confirm visit eligibility?,"Verify inclusion/exclusion, labs/vitals within window, concomitant meds, fasting status, pregnancy test if applicable, PI approval documented before procedures."
Visit Management,What is required for remote visits?,"Confirm sponsor approval, secure platform, identity verification, obtain telemedicine consent if required, document limitations and data capture method."
Visit Management,What pre-dose checks are required?,"Confirm IP accountability, dosing eligibility, pre-dose vitals/labs, concomitant meds, adverse events review, PI authorization to proceed."
Visit Management,How do I document missed procedures?,"Note which procedures were missed, reason, any safety impact, reschedule if permissible, document deviation if affecting endpoints or safety."
Informed Consent,What are the steps to obtain informed consent?,"Use IRB-approved version, ensure adequate discussion, answer questions, confirm comprehension, obtain signatures/date/time, provide copy to subject, file originals."
Informed Consent,How do I re-consent subjects?,When protocol/IB changes or new risk emerges; use updated IRB-approved version; document re-consent date/time and give copy to subject.
Informed Consent,Who can conduct the consent process?,Delegated and trained staff with PI oversight; PI must be available for questions; document who conducted the process.
Informed Consent,How do I handle non-English speakers?,Use IRB-approved translated forms or short form with interpreter; follow IRB policy for witness requirements; document language support provided.
Regulatory & IRB,What belongs in the regulatory binder?,"IRB approvals, protocol/IB, investigator CV/licenses, financial disclosures, delegation/training logs, safety reports, deviations, correspondence, essential documents per ICH E6."
Regulatory & IRB,When do I submit to the IRB?,"Initial review, amendments, continuing review, reportable events/UPIRTSO, and closures per IRB policy and timelines."
Regulatory & IRB,How do I track IRB approval versions?,Maintain version-controlled index with approval letters and effective dates; ensure site uses only current approved documents.
Regulatory & IRB,What is required at study startup?,"Delegation log, training records, regulatory binder setup, IP storage readiness, source templates, randomization system access, lab normal ranges, equipment calibration."
Delegation & Training,How do I maintain the delegation log?,"Record roles/responsibilities, start/stop dates, signatures/initials, training completion, PI approval; update promptly on changes."
Delegation & Training,What training is required before duties?,"Protocol, GCP, study-specific systems (e.g., EDC, IWRS), IP handling, safety reporting; document completion with certificates and dates."
Delegation & Training,How do I remove a team member from duties?,"Stop date on delegation log, revoke system access, reassign tasks, document handover, notify sponsor as needed."
Monitoring & Audits,How do I prepare for a monitoring visit?,"Schedule access, confirm records availability, update logs, reconcile IP, resolve open queries, prepare pending documents, ensure PI availability."
Monitoring & Audits,How do I respond to monitoring findings?,"Review report, perform root cause analysis, submit CAPA with timelines, implement actions, provide evidence of completion."
Monitoring & Audits,What to do for a remote monitoring visit?,"Provide secure portal/access, upload redacted source per policy, schedule real-time communication, confirm privacy safeguards."
Monitoring & Audits,How to manage audit readiness?,"Maintain real-time completeness of essential documents, version control, training records, IP reconciliation, and CAPA tracking."
Data & Source,How do I maintain source documentation quality?,"Contemporaneous, legible, attributable, original, accurate, complete (ALCOA+); use corrections with single line, date/initial, reason; no obliteration."
Data & Source,How quickly should eCRFs be completed?,"Per sponsor timelines (e.g., within 5 business days) and before monitoring; prioritize safety data and critical endpoints."
Data & Source,How do I handle data corrections?,Use audit-trailed corrections in eCRF; update source with dated/initialed addendum explaining correction; notify monitor if significant.
Data & Source,What identifiers are allowed in the study records?,Use coded subject ID; avoid PHI in systems not approved; follow HIPAA/local privacy rules for any identifiers.
Safety Oversight,When must the PI be notified urgently?,"Any SAE/serious safety concern, unblinding consideration, significant deviation affecting safety/eligibility, protocol hold, or regulatory notification."
Safety Oversight,How do I document PI oversight?,"PI signatures on eligibility, SAE assessments, critical decisions; meeting notes or emails showing review; delegation log for duties."
Safety Oversight,When is unblinding permitted?,"Only under protocol-defined emergencies for subject safety; follow IWRS/pharmacy SOP; document reason, authorization, and outcome."
Shipping & COC,What is required for outbound IP shipment?,"Sponsor authorization, packaging per temperature requirements, tamper-evident seals, chain of custody, courier tracking, and shipment notification."
Shipping & COC,How do I document chain of custody?,"Record handoffs with date/time, from/to, contents, condition, signatures; maintain with accountability and shipment records."
Shipping & COC,What documents accompany temperature-controlled shipments?,"Packing list, temperature logger instructions/ID, shipper labels with storage range, and contact information for issues."
Temperature Control,How do I manage daily temperature logs?,"Record min/max at required frequency, investigate out-of-range, document actions, calibrate devices per schedule, retain logs in binder."
Temperature Control,How do I read and archive temperature logger data?,"Download after receipt/return, save PDFs/CSV, attach to receiving/return documentation, review against excursion limits, file in binder."
Temperature Control,What is the backup plan for power failure?,"Use backup storage, place 'Do Not Use' labels if limits reached, notify sponsor, document excursion assessment and decisions."
Document Control,How do I manage version control?,"Track versions with effective dates, archive superseded docs, ensure only current IRB-approved forms in use, update binders and staff."
Document Control,What belongs in the investigator site file (ISF)?,"Essential documents per ICH E6: approvals, protocol/IB, training, delegation, subject records index, safety, correspondence, monitoring/audit."
Document Control,How do I index and file emails/correspondence?,"File by study and topic with date/subject, link to related deviations/SAEs or decisions, ensure readability and retrievability."
Privacy & Security,How do I protect subject privacy?,"Use subject IDs, limit access to PHI, store consent separately when required, follow HIPAA/local policies, use secure transfer methods."
Privacy & Security,What are secure transfer methods for documents?,"Sponsor portals, encrypted email per institution policy, secure upload; avoid personal email or unapproved drives."
Privacy & Security,How do I handle data for remote monitoring?,"Provide redacted source or limited data sets per policy, remove direct identifiers, log what was shared and to whom."
Closeout,What is required at study closeout?,"Reconcile IP to zero, archive essential documents, complete outstanding queries, notify IRB of closure, finalize training/document indexes."
Closeout,How do I prepare archives?,"Organize ISF with index, verify completeness, apply retention schedule, secure storage location, document archive date and custodian."
Closeout,What to do with active subjects at early termination?,"Follow sponsor/IRB guidance for safety follow-up, inform subjects, ensure medical care continuity, document communications and outcomes."
Screening & Enrollment,How do I pre-screen subjects?,"Use IRB-approved methods only, maintain pre-screening log per policy, avoid PHI capture outside approved systems, obtain consent before any research-specific procedures."
Screening & Enrollment,What is needed for randomization?,"Verify eligibility, PI sign-off, obtain subject ID, confirm system access (IWRS/IRT), document randomization code/kit per SOP."
Screening & Enrollment,How do I document screen failures?,"Record reason, date, procedures completed, safety follow-up if needed, inform sponsor per protocol, file in subject records."
Concomitant Meds,How do I collect concomitant medications?,"Capture drug name, indication, start/stop dates, dose/route/frequency; assess prohibited meds per protocol; update at each visit."
Concomitant Meds,How do I handle prohibited medications?,"Identify via protocol/IB, alert PI, discuss alternatives, document hold/washout if required, record as deviation if taken."
Labs & Samples,How do I manage central lab kits?,"Check kit expiry, store per temperature requirements, log receipt, use correct subject labels, ship per schedule with tracking and chain of custody."
Labs & Samples,What if a sample is collected outside the window?,"Notify PI, assess impact, document deviation, coordinate recollection if allowed, inform sponsor if required."
Labs & Samples,How do I reconcile sample shipments?,"Match requisitions to tracking and central lab receipt, resolve discrepancies promptly, file confirmations in the lab binder."
EDC & Systems,How do I manage EDC access?,"Request accounts for delegated staff, assign roles per duties, deactivate upon role change, track in training/delegation logs."
EDC & Systems,How do I handle EDC queries?,"Respond within sponsor timelines, provide source-backed answers, document corrections, escalate unclear medical questions to PI."
EDC & Systems,What systems training must be documented?,"EDC, IWRS/IRT, eTMF/portal, safety reporting, and any device-specific platforms; retain certificates and dates."
